rowname	t0.5_t0	t1_t0.5	t2_t1	t3_t2	t4_t3	t8_t4
TSPAN6	-2.3177293276050075	0.23924413012938683	-0.6434427412841407	-0.14611988560473332	0.2438653016039285	-0.7245755861079111
DPM1	-0.003205024542851872	1.1485005643386161	-0.242410697344426	1.1281359009921108	-0.7498761606363551	-0.6807622494653168
SCYL3	-2.4726777158407782	-4.386341152521777	0.62474930314413	-0.34475049016422216	0.4565394029629531	1.40315345265607
C1orf112	0.16297201004386253	0.5124361539750996	-0.5078944236032532	-2.6977074690586234	1.547597735277779	0.9175367686800817
FGR	0.5461561380039237	-1.2393567462261084	0.5054828636056043	0.03463652683782661	-0.7669003667844029	1.6853227612140635
CFH	1.1916103903954283	-0.9106141878029475	-0.5418832242892152	-0.6580462208890872	0.5524984574838816	1.5371659249368113
FUCA2	2.0804313817747677	-0.7443006954167097	-0.046235107144543326	0.096051571020132	-0.7264613336103474	1.7504503544257835
GCLC	1.2040706628704634	-0.548990519605725	-0.9372708829290958	-2.2578323274436416	0.28259376963772703	0.21454413106746667
NFYA	-3.9565120708905805	3.511091011965091	4.6447369281738125	-2.229513024387921	-2.22128245950193	0.8456242312958406
STPG1	0.6383085623489841	0.24800623580272002	-5.074044540175493	-0.6618793027836531	-2.712771455319455	4.654277393531355
NIPAL3	-0.2778542124084595	0.12989289409532187	-3.7010592110170806	-5.244945451634335	0.021754765248503814	4.075411343374782
LAS1L	-2.9259841839692613	-0.08623242023317919	1.4918039574391508	0.589249209252067	-0.14936790033128858	1.1449725657977392
ENPP4	-1.401442339785499	0.24132637416188188	-2.059724730796473	0.45842622434695435	-0.6068853007150343	1.5343490384228593
SEMA3F	1.8735230823539524	-1.0531825985373382	-1.1047976363283891	-0.38679274891740784	1.5560374144169737	-0.6103833937260442
ANKIB1	-1.2815100950786857	-0.2937929918000449	-0.008564035913343381	-0.850835086274348	-1.498924866596381	0.3123586197344684
CYP51A1	1.1742963269273805	-1.152849152736831	2.4979099523945756	0.9070220986742176	-2.95140077386103	0.7278459765748766
KRIT1	-3.1878150166979853	0.9216328525177183	-1.8298680241988319	-0.6716917846170454	1.2732427567731095	-0.3207156548759725
RAD52	-2.800410969696294	-1.7428293146493634	0.5080744052499807	0.9551982262512443	-0.00504617539934166	-0.009027557038723362
BAD	-0.4260326053318299	-0.8103146684025155	-0.34433264122214535	0.14633550649291194	0.04036179958768112	-0.1131623702428241
LAP3	1.279119371374796	0.03795992886968868	-0.8002472203124291	0.6821528712015086	-0.43950560035314373	-0.482873096652443
CD99	0.12651592733685765	-1.29885532715305	0.8557218667501586	0.6241776297526971	0.647669623141517	-1.2312244393154586
HS3ST1	-0.2753558871997204	3.573359568857306	0.9908562969834922	-0.3855094778721211	2.7621459161524076	-1.767979584384835
HECW1	0.9640879560652318	0.7709387749748952	-0.5387962295739811	-2.3579476109487394	-0.9908262679792131	0.07587449367614287
MAD1L1	-1.7947393613791818	-0.3903156389325952	1.472090103556925	-0.8332936768987999	-0.28543911318728565	0.33288227150152044
LASP1	-1.6729796394714327	-0.7984077610022521	3.2576174510672242	2.495496044747139	0.05421262186937567	-10.054997304894872
SNX11	0.8887371007151058	0.8645554805027845	-0.158749810654154	0.3570766132518977	-0.24954612272646007	-0.040471217406233176
M6PR	2.831737657639338	0.24793586005255816	0.16325507050334784	-1.1088215004957989	0.25797300011442675	0.8868066557094143
KLHL13	-1.530567142615169	-0.4410049227194496	0.0811644687257105	0.4070986450478235	-0.39127560349405677	-0.43938283215613017
CYP26B1	-0.5956926731286928	-1.272918271345349	-2.3451716899686192	-1.0251500130527114	0.2774273482015957	-2.780402834267805
ICA1	-1.3278387617459022	0.8366683713106261	-2.6352491804467815	-3.232164547553997	0.5901866217925745	-0.6743825492346762
DBNDD1	0.38273087650856913	0.2545796217511345	0.7216605354295573	-0.5834108130890585	0.5175916784244854	-0.6783590283340311
ALS2	-0.9211157293331121	1.3361657968780316	1.2220695038068554	0.1854324211596054	0.31208746685688155	-1.7444467486578157
CASP10	-1.0776791649075252	-0.1649783420962525	-0.5918037429768042	-1.6617336704872883	-0.061388534734412706	3.323041663221053
CFLAR	-1.0168942218631773	-0.23327796647272991	-0.2705707522085072	-0.5629599848113999	0.4389252347869634	1.4787399023039176
TFPI	-0.05896027336289443	1.0831793271074805	-0.7939826349215242	-0.40575362363030987	-0.5674660660734536	0.47814813075758233
NDUFAF7	-4.366427135917912	1.7329267282045921	-0.2041444477095402	0.16271162408782844	-0.7028108599491208	-0.4729404688141779
RBM5	-3.1030512402045662	1.401516956524092	-2.424853655775951	0.04133360344034199	1.0165955688503132	0.8416692377908354
SLC7A2	1.702546042515738	-1.5371044133119087	3.419370258758425	5.165446767158526	2.7242970915226428	-5.911238979879243
ARF5	-2.164676420469403	0.8375410090846587	0.5475569874162626	0.61725766341827	0.06321142329018332	-0.34346320196331637
SARM1	-0.3289837454336488	-1.1310819173736826	-3.452854938080963	1.573208549684244	1.8579852967004271	-0.8833086012109733
POLDIP2	0.19085293685759555	-0.6900982752437349	0.8528762653651436	0.3903195476972231	1.4716692940962477	1.710238795430871
PLXND1	0.1498480573311954	0.656556323835744	4.845126125686086	3.7954797278431567	1.65639539453243	-2.6484850363174193
